Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
12/5/2023,1064.64,"1,057.12","1,065.08","1,053.97",677.99K,0.70%
11/5/2023,1057.24,"1,058.26","1,063.69","1,056.72",674.32K,0.00%
10/5/2023,1057.26,"1,055.62","1,058.67","1,053.34",678.77K,0.21%
9/5/2023,1055.03,"1,055.42","1,058.71","1,052.68",526.92K,0.15%
8/5/2023,1053.44,"1,040.31","1,053.44","1,040.31",655.53K,1.26%
5/5/2023,1040.31,"1,040.61","1,043.22","1,036.69",547.78K,-0.03%
4/5/2023,1040.61,"1,049.12","1,049.12","1,038.18",625.81K,-0.81%
28/04/2023,1049.12,"1,043.17","1,049.12","1,042.04",613.14K,0.91%
27/04/2023,1039.63,"1,040.80","1,044.25","1,037.62",511.73K,-0.11%
26/04/2023,1040.8,"1,034.85","1,040.80","1,029.19",576.78K,0.57%
25/04/2023,1034.85,"1,045.87","1,045.87","1,032.49",539.59K,-0.63%
24/04/2023,1041.36,"1,042.91","1,047.18","1,038.36",556.99K,-0.15%
21/04/2023,1042.91,"1,049.25","1,050.40","1,041.26",553.03K,-0.60%
20/04/2023,1049.25,"1,048.98","1,051.86","1,045.85",373.75K,0.03%
19/04/2023,1048.98,"1,055.02","1,058.14","1,047.47",569.68K,-0.57%
18/04/2023,1055.02,"1,053.81","1,057.15","1,050.89",539.76K,0.11%
17/04/2023,1053.81,"1,052.89","1,054.72","1,049.11",453.79K,0.09%
14/04/2023,1052.89,"1,064.30","1,068.79","1,052.89",786.53K,-1.07%
13/04/2023,1064.3,"1,069.45","1,070.96","1,062.26",673.04K,-0.48%
12/4/2023,1069.45,"1,071.61","1,072.70","1,066.43",726.16K,0.00%
11/4/2023,1069.46,"1,065.35","1,070.56","1,056.90",697.78K,0.39%
10/4/2023,1065.35,"1,073.86","1,075.54","1,063.45",857.46K,-0.41%
7/4/2023,1069.71,"1,070.91","1,072.94","1,063.70",646.00K,-0.11%
6/4/2023,1070.91,"1,080.86","1,084.52","1,070.91",998.76K,-0.92%
5/4/2023,1080.86,"1,078.45","1,080.86","1,074.10",793.75K,0.22%
4/4/2023,1078.45,"1,079.28","1,082.21","1,075.10",803.89K,-0.08%
3/4/2023,1079.28,"1,064.64","1,079.28","1,064.64",821.31K,1.38%
31/03/2023,1064.64,"1,059.44","1,067.55","1,059.44",639.93K,0.49%
30/03/2023,1059.44,"1,056.33","1,066.23","1,056.33",633.98K,0.29%
29/03/2023,1056.33,"1,054.29","1,056.33","1,048.26",460.96K,0.19%
